id,category,subtopic,difficulty,grade_range,question,choice1,choice2,choice3,choice4,answer_index,answer_text,explanation
G001,geography,世界の国々,basic,J1/J2,中国の首都として正しいものを選びなさい。,北京,ウェリントン,ハノイ,ソウル,0,北京,中国の首都は北京です。
G002,geography,州区分,basic,J1/J2,中国が主に位置する州として最も適切なものを選びなさい。,北アメリカ州,アフリカ州,ヨーロッパ州,アジア州,3,アジア州,中国はアジア州に位置します。
G003,geography,世界の国々,basic,J1/J2,韓国の首都として正しいものを選びなさい。,プレトリア,ソウル,キャンベラ,バンコク,1,ソウル,韓国の首都はソウルです。
G004,geography,州区分,basic,J1/J2,韓国が主に位置する州として最も適切なものを選びなさい。,北アメリカ州,南アメリカ州,ヨーロッパ州,アジア州,3,アジア州,韓国はアジア州に位置します。
G005,geography,世界の国々,basic,J1/J2,インドの首都として正しいものを選びなさい。,ニューデリー,北京,カイロ,ロンドン,0,ニューデリー,インドの首都はニューデリーです。
G006,geography,州区分,basic,J1/J2,インドが主に位置する州として最も適切なものを選びなさい。,ヨーロッパ州,アジア州,アフリカ州,オセアニア州,1,アジア州,インドはアジア州に位置します。
G007,geography,世界の国々,basic,J1/J2,タイの首都として正しいものを選びなさい。,バンコク,モスクワ,ウェリントン,ブラジリア,0,バンコク,タイの首都はバンコクです。
G008,geography,州区分,basic,J1/J2,タイが主に位置する州として最も適切なものを選びなさい。,アジア州,ヨーロッパ州,オセアニア州,北アメリカ州,0,アジア州,タイはアジア州に位置します。
G009,geography,世界の国々,basic,J1/J2,ベトナムの首都として正しいものを選びなさい。,プレトリア,ハノイ,ニューデリー,ブラジリア,1,ハノイ,ベトナムの首都はハノイです。
G010,geography,州区分,basic,J1/J2,ベトナムが主に位置する州として最も適切なものを選びなさい。,アジア州,南アメリカ州,ヨーロッパ州,アフリカ州,0,アジア州,ベトナムはアジア州に位置します。
G011,geography,世界の国々,basic,J1/J2,サウジアラビアの首都として正しいものを選びなさい。,リヤド,パリ,ブラジリア,カイロ,0,リヤド,サウジアラビアの首都はリヤドです。
