id,category,subtopic,difficulty,grade_range,question,choice1,choice2,choice3,choice4,answer_index,answer_text,explanation
H001,history,時代区分,basic,J1/J2,旧石器時代の説明として最も適切なものを選びなさい。,各地の戦国大名が争った,稲作が広がった,打製石器を使い、狩りや採集を行った,足利氏が幕府を開いた,2,打製石器を使い、狩りや採集を行った,旧石器時代には打製石器を使い、狩りや採集を行ったことが大きな特徴です。
H002,history,時代区分,basic,J1/J2,縄文時代の説明として最も適切なものを選びなさい。,武士による幕府政治が始まった,土器や竪穴住居が見られた,平安京がおかれた,織田信長・豊臣秀吉が活躍した,1,土器や竪穴住居が見られた,縄文時代には土器や竪穴住居が見られたことが大きな特徴です。
H003,history,時代区分,basic,J1/J2,弥生時代の説明として最も適切なものを選びなさい。,打製石器を使い、狩りや採集を行った,足利氏が幕府を開いた,稲作が広がった,織田信長・豊臣秀吉が活躍した,2,稲作が広がった,弥生時代には稲作が広がったことが大きな特徴です。
H004,history,時代区分,basic,J1/J2,古墳時代の説明として最も適切なものを選びなさい。,徳川氏による幕府政治が続いた,土器や竪穴住居が見られた,大きな古墳がつくられた,足利氏が幕府を開いた,2,大きな古墳がつくられた,古墳時代には大きな古墳がつくられたことが大きな特徴です。
H005,history,時代区分,basic,J1/J2,飛鳥時代の説明として最も適切なものを選びなさい。,仏教や律令国家づくりが進んだ,打製石器を使い、狩りや採集を行った,稲作が広がった,土器や竪穴住居が見られた,0,仏教や律令国家づくりが進んだ,飛鳥時代には仏教や律令国家づくりが進んだことが大きな特徴です。
H006,history,時代区分,basic,J1/J2,奈良時代の説明として最も適切なものを選びなさい。,土器や竪穴住居が見られた,大きな古墳がつくられた,平城京がおかれた,近代国家づくりが進んだ,2,平城京がおかれた,奈良時代には平城京がおかれたことが大きな特徴です。
H007,history,時代区分,basic,J1/J2,平安時代の説明として最も適切なものを選びなさい。,徳川氏による幕府政治が続いた,平城京がおかれた,各地の戦国大名が争った,平安京がおかれた,3,平安京がおかれた,平安時代には平安京がおかれたことが大きな特徴です。
H008,history,時代区分,basic,J1/J2,鎌倉時代の説明として最も適切なものを選びなさい。,平安京がおかれた,徳川氏による幕府政治が続いた,土器や竪穴住居が見られた,武士による幕府政治が始まった,3,武士による幕府政治が始まった,鎌倉時代には武士による幕府政治が始まったことが大きな特徴です。
H009,history,時代区分,basic,J1/J2,室町時代の説明として最も適切なものを選びなさい。,仏教や律令国家づくりが進んだ,平城京がおかれた,足利氏が幕府を開いた,打製石器を使い、狩りや採集を行った,2,足利氏が幕府を開いた,室町時代には足利氏が幕府を開いたことが大きな特徴です。
H010,history,時代区分,basic,J1/J2,戦国時代の説明として最も適切なものを選びなさい。,大きな古墳がつくられた,平城京がおかれた,各地の戦国大名が争った,土器や竪穴住居が見られた,2,各地の戦国大名が争った,戦国時代には各地の戦国大名が争ったことが大きな特徴です。
H011,history,時代区分,basic,J1/J2,安土桃山時代の説明として最も適切なものを選びなさい。,仏教や律令国家づくりが進んだ,織田信長・豊臣秀吉が活躍した,打製石器を使い、狩りや採集を行った,平安京がおかれた,1,織田信長・豊臣秀吉が活躍した,安土桃山時代には織田信長・豊臣秀吉が活躍したことが大きな特徴です。
H012,history,時代区分,basic,J1/J2,江戸時代の説明として最も適切なものを選びなさい。,大きな古墳がつくられた,織田信長・豊臣秀吉が活躍した,徳川氏による幕府政治が続いた,土器や竪穴住居が見られた,2,徳川氏による幕府政治が続いた,江戸時代には徳川氏による幕府政治が続いたことが大きな特徴です。
H013,history,時代区分,basic,J1/J2,明治時代の説明として最も適切なものを選びなさい。,近代国家づくりが進んだ,各地の戦国大名が争った,大きな古墳がつくられた,稲作が広がった,0,近代国家づくりが進んだ,明治時代には近代国家づくりが進んだことが大きな特徴です。
H014,history,人物,basic,J1/J2,卑弥呼の説明として正しいものを選びなさい。,平氏の力を強め、日宋貿易を進めた,邪馬台国の女王とされる,寛政の改革を行った,鎌倉幕府を開いた,1,邪馬台国の女王とされる,卑弥呼は邪馬台国の女王とされる人物です。
H015,history,人物,basic,J1/J2,聖徳太子の説明として正しいものを選びなさい。,日本へ仏教の戒律を伝えた,十七条の憲法や冠位十二階で知られる,源平の戦いで活躍した,商業を重視した政治を行った,1,十七条の憲法や冠位十二階で知られる,聖徳太子は十七条の憲法や冠位十二階で知られる人物です。
H016,history,人物,basic,J1/J2,中大兄皇子の説明として正しいものを選びなさい。,日本へ仏教の戒律を伝えた,中臣鎌足とともに大化の改新を進めた,邪馬台国の女王とされる,明治維新で活躍した,1,中臣鎌足とともに大化の改新を進めた,中大兄皇子は中臣鎌足とともに大化の改新を進めた人物です。
H017,history,人物,basic,J1/J2,中臣鎌足の説明として正しいものを選びなさい。,邪馬台国の女王とされる,寛政の改革を行った,のちの藤原氏のもととなる人物,室町幕府を開いた,2,のちの藤原氏のもととなる人物,中臣鎌足はのちの藤原氏のもととなる人物人物です。
H018,history,人物,basic,J1/J2,聖武天皇の説明として正しいものを選びなさい。,自由民権運動を進めた,東大寺の大仏造立を進めた,楽市・楽座を行った,日本へ仏教の戒律を伝えた,1,東大寺の大仏造立を進めた,聖武天皇は東大寺の大仏造立を進めた人物です。
H019,history,人物,basic,J1/J2,鑑真の説明として正しいものを選びなさい。,金閣を建て、南北朝の統一を行った,日本へ仏教の戒律を伝えた,太閤検地や刀狩を行った,江戸幕府を開いた,1,日本へ仏教の戒律を伝えた,鑑真は日本へ仏教の戒律を伝えた人物です。
H020,history,人物,basic,J1/J2,藤原道長の説明として正しいものを選びなさい。,摂関政治の最盛期に権力を握った,天保の改革を行った,十七条の憲法や冠位十二階で知られる,自由民権運動を進めた,0,摂関政治の最盛期に権力を握った,藤原道長は摂関政治の最盛期に権力を握った人物です。
H021,history,人物,basic,J1/J2,平清盛の説明として正しいものを選びなさい。,江戸幕府を開いた,十七条の憲法や冠位十二階で知られる,銀閣に代表される東山文化の時代の将軍,平氏の力を強め、日宋貿易を進めた,3,平氏の力を強め、日宋貿易を進めた,平清盛は平氏の力を強め、日宋貿易を進めた人物です。
H022,history,人物,basic,J1/J2,源頼朝の説明として正しいものを選びなさい。,太閤検地や刀狩を行った,明治政府の中心人物の一人,鎌倉幕府を開いた,江戸幕府を開いた,2,鎌倉幕府を開いた,源頼朝は鎌倉幕府を開いた人物です。
H023,history,人物,basic,J1/J2,源義経の説明として正しいものを選びなさい。,天保の改革を行った,中臣鎌足とともに大化の改新を進めた,源平の戦いで活躍した,東大寺の大仏造立を進めた,2,源平の戦いで活躍した,源義経は源平の戦いで活躍した人物です。
H024,history,人物,basic,J1/J2,北条泰時の説明として正しいものを選びなさい。,銀閣に代表される東山文化の時代の将軍,御成敗式目を定めた,天保の改革を行った,享保の改革を行った,1,御成敗式目を定めた,北条泰時は御成敗式目を定めた人物です。
