id,category,subtopic,difficulty,grade_range,question,choice1,choice2,choice3,choice4,answer_index,answer_text,explanation
C001,civics,基礎用語,basic,J1/J2/J3,日本国憲法の説明として最も適切なものを選びなさい。,商品やサービスの値段,戦争を放棄し平和を大切にする考え,国や地方公共団体の活動を支えるお金,国の基本的なきまり,3,国の基本的なきまり,日本国憲法とは、国の基本的なきまりことです。
C002,civics,基礎用語,basic,J1/J2/J3,国会の説明として最も適切なものを選びなさい。,争いごとを法にもとづいて判断する機関,世界の平和と協力のための国際機関,国民の三大義務の一つ,法律をつくる国の機関,3,法律をつくる国の機関,国会とは、法律をつくる国の機関ことです。
C003,civics,基礎用語,basic,J1/J2/J3,内閣の説明として最も適切なものを選びなさい。,戦争を放棄し平和を大切にする考え,代表者を投票で選ぶこと,外国のお金に対して円の価値が低いこと,法律に基づいて政治を進める機関,3,法律に基づいて政治を進める機関,内閣とは、法律に基づいて政治を進める機関ことです。
C004,civics,基礎用語,basic,J1/J2/J3,裁判所の説明として最も適切なものを選びなさい。,争いごとを法にもとづいて判断する機関,商品を売りたいという量,子どもが減り高齢者が増える社会,人が生まれながらにもつ権利,0,争いごとを法にもとづいて判断する機関,裁判所とは、争いごとを法にもとづいて判断する機関ことです。
C005,civics,基礎用語,basic,J1/J2/J3,地方公共団体の説明として最も適切なものを選びなさい。,都道府県や市区町村のこと,法律に基づいて政治を進める機関,商品やサービスを買って使う人,国の基本的なきまり,0,都道府県や市区町村のこと,地方公共団体とは、都道府県や市区町村のことことです。
C006,civics,基礎用語,basic,J1/J2/J3,選挙の説明として最も適切なものを選びなさい。,法律をつくる国の機関,代表者を投票で選ぶこと,人が生まれながらにもつ権利,法律に基づいて政治を進める機関,1,代表者を投票で選ぶこと,選挙とは、代表者を投票で選ぶことことです。
C007,civics,基礎用語,basic,J1/J2/J3,税金の説明として最も適切なものを選びなさい。,商品を売りたいという量,国や地方公共団体の活動を支えるお金,代表者を投票で選ぶこと,外国のお金に対して円の価値が低いこと,1,国や地方公共団体の活動を支えるお金,税金とは、国や地方公共団体の活動を支えるお金ことです。
C008,civics,基礎用語,basic,J1/J2/J3,消費者の説明として最も適切なものを選びなさい。,子どもが減り高齢者が増える社会,お金として使われるもの,外国のお金に対して円の価値が高いこと,商品やサービスを買って使う人,3,商品やサービスを買って使う人,消費者とは、商品やサービスを買って使う人ことです。
C009,civics,基礎用語,basic,J1/J2/J3,生産者の説明として最も適切なものを選びなさい。,お金として使われるもの,都道府県や市区町村のこと,商品やサービスをつくったり売ったりする人,人が生まれながらにもつ権利,2,商品やサービスをつくったり売ったりする人,生産者とは、商品やサービスをつくったり売ったりする人ことです。
C010,civics,基礎用語,basic,J1/J2/J3,需要の説明として最も適切なものを選びなさい。,商品やサービスを買って使う人,都道府県や市区町村のこと,商品を買いたいという量,戦争を放棄し平和を大切にする考え,2,商品を買いたいという量,需要とは、商品を買いたいという量ことです。
C011,civics,基礎用語,basic,J1/J2/J3,供給の説明として最も適切なものを選びなさい。,人が生まれながらにもつ権利,外国のお金に対して円の価値が低いこと,子どもが減り高齢者が増える社会,商品を売りたいという量,3,商品を売りたいという量,供給とは、商品を売りたいという量ことです。
